CUNumber,CUName,City,State,URL
839,FIRSTENERGY CHOICE,GREENSBURG,PA,http://www.fechoice.com
841,ALLEGHENY CENTRAL,Dunbar,PA,http://www.acefcu.org
845,BUFFALO CONRAIL,Cheektowaga,NY,http://www.bufconfcu.com
850,VALLEY,Brownsville,TX,http://www.vfcu.net
851,CHELSEA EMPLOYEES,CHELSEA,MA,http://www.ChelseaEFCU.org
854,SEASONS,Middletown,CT,http://www.seasonsfcu.org
856,MOUNTAIN STAR,El Paso,TX,http://www.mountainstarfcu.org
857,AFFINITY,Basking Ridge,NJ,https://www.affinityfcu.com
858,KENMORE N. Y. TEACHERS,Buffalo,NY,https://www.kenteachfcu.com
871,ZELLCO,BOGALUSA,LA,https://www.zellcofcu.org
872,MIAMI FIREFIGHTERS,MIAMI,FL,http://www.mffcu.org
884,ATT-WYO CORRECTIONAL EMPLOYEES,Attica,NY,http://www.attwyocefcu.com
887,BILLINGS,Billings,MT,http://www.billingsfcu.org
888,COXSACKIE CORRECTIONAL EMP.,COXSACKIE,NY,
900,AMBRIDGE AREA,Baden,PA,http://www.ambridgeareafcu.com
909,PRR SOUTH FORK,South Fork,PA,http://www.prrsouthfork.com
911,STAR USA,Charleston,WV,http://www.star.coop
916,ELIZABETH (N.J.) FIREMEN'S,Elizabeth,NJ,http://home.earthlink.net/~enjffcu
926,RIVER CITY,Leon Valley,TX,http://www.rcityfcu.org
930,AMNH EMPLOYEES,NEW YORK,NY,
932,OTEEN V. A.,ASHEVILLE,NC,http://www.oteencreditunion.com
943,SOMERVILLE MASS FIREFIGHTERS,SOMERVILLE,MA,
946,MUSKOGEE,MUSKOGEE,OK,http://www.mfcuonline.org
948,NUSENDA,ALBUQUERQUE,NM,http://www.nusenda.org
951,POSTAL FAMILY,FARGO,ND,http://www.postalfamilyfcu.com
960,PACIFIC CREST,KLAMATH FALLS,OR,https://www.mypcfcu.org
964,SOUTHWEST,Albuquerque,NM,http://www.sfcunm.org
967,GOLD COAST,PALM SPRINGS,FL,http://www.GCFCU.ORG
986,URE,East Pittsburgh,PA,http://urefcu.org
988,AUBURN COMMUNITY,AUBURN,NY,http://www.auburnfcu.com
1000,SIERRA PACIFIC,RENO,NV,http://www.sierrapacificfcu.org
1015,NORTH JERSEY,Totowa,NJ,http://www.njfcu.org
1021,FIRST FINANCIAL,Freehold,NJ,http://www.firstffcu.com
1022,SOUTH CAROLINA,NORTH CHARLESTO,SC,http://www.scfederal.org
1034,OLIVE VIEW EMPLOYEES,SYLMAR,CA,http://www.OliveViewFCU.com
1040,CAPITAL EDUCATORS,MERIDIAN,ID,http://www.capedcu.com
1049,MEMBERSFIRST CT,MERIDEN,CT,http://MembersFirstCTFCU.com
1059,GRAND CENTRAL TERMINAL EMPLOYEES,NEW YORK,NY,
1068,COMPASS FINANCIAL,Medley,FL,http://www.compassffcu.org
1074,FARMERS INSURANCE,Burbank,CA,http://www.figfcu.com
1077,TOBACCO VALLEY TEACHERS,Enfield,CT,http://www.tvtfcu.org
1080,DISTRICT #6,Hornell,NY,http://www.district6fcu.com
1086,SUWANNEE RIVER,LIVE OAK,FL,http://www.suwanneeriverfcu.com
1108,CENTRAL JERSEY,WOODBRIDGE,NJ,http://www.cjfcu.org
1111,LOCOMOTIVE & CONTROL EMPLOYEES,Erie,PA,https://www.locomotivecontrolefcu.c
1113,CORRECTIONAL WORKERS,EL RENO,OK,http://www.cw-fcu.com
1115,COASTLINE,Jacksonville,FL,https://www.coastlinefcu.org
1117,WIDGET,Erie,PA,https://www.widgetfinancial.com
1125,VAN CORTLANDT COOPERATIVE,BRONX,NY,http://www.vccfcu.com
1127,SALEM VA MEDICAL CENTER,Salem,VA,https://www.salemvafcu.org
1129,MOPAC EMPLOYEES,Palestine,TX,http://www.mopaccu.com
1130,LONGVIEW,White Oak,TX,
1131,ESSEX COUNTY TEACHERS,BLOOMFIELD,NJ,http://www.ectcu.org
1133,TRADEMARK,Augusta,ME,HTTP://WWW.TRADEMARKFCU.ORG
1134,CO-OPERATIVE,WOODRIDGE,NY,http://WWW.COOPFEDERAL.COM
1148,COREPLUS,Norwich,CT,http://www.coreplus.org
1157,BUFFALO POLICE,Buffalo,NY,http://www.buffalopolicefcu.org
1166,1166,Swedesboro,NJ,http://www.1166fcu.org
1167,FORT BILLINGS,GIBBSTOWN,NJ,http://www.fortbillings.org
1172,CORNER POST,Wilkes Barre,PA,http://www.cornerpostfcu.org
1199,BMI,Dublin,OH,http://www.bmifcu.org
1204,RANCHO,DOWNEY,CA,http://www.ranchofcu.org
1207,LOS ANGELES,Glendale,CA,http://www.lafcu.org
1236,CAMBRIDGE FIREFIGHTERS,Cambridge,MA,http://www.cambridgefirefcu.org
1239,PITTSBURGH CITY HALL EMPLOYEES,Pittsburgh,PA,https://www.pche-fcu.org
1245,COTTON BELT,PINE BLUFF,AR,https://www.pbcbcu.org
1248,FORT SMITH TEACHERS,FORT SMITH,AR,
1251,NEW CENTURY,Joliet,IL,http://www.newcenturyfcu.org
1257,BATON ROUGE FIRE DEPARTMENT,Baton Rouge,LA,http://brfdfcu.com
1261,LANGLEY,Newport News,VA,https://www.langleyfcu.org
1263,EVANSVILLE FIREFIGHTERS,EVANSVILLE,IN,http://www.evffcu.info
1273,STATE FARM,Bloomington,IL,http://www.statefarmfcu.com
1282,RICHMOND HERITAGE,Richmond,VA,http://www.richheritage.org
1309,CROSSPOINT,Hamden,CT,http://www.crosspointfcu.org
1339,BAKERSFIELD CITY EMPLOYEES,BAKERSFIELD,CA,http://www.bakcityefcu.org
1343,EMPIRT 207,new york,NY,https://www.amimembernet.com/efcu/l
1344,NORTHERN VALLEY,Grand Forks,ND,http://www.northernvalleyfcu.com
1351,MERCER COUNTY NJ TEACHERS,HAMILTON SQUARE,NJ,http://www.mcnjtfcu.org
1352,CENTURY HERITAGE,PITTSBURGH,PA,https://chfcu.org
1364,U S #1364,MERRILLVILLE,IN,http://WWW.USFEDERALCU.ORG
