,CHARTER,city,url,state,name,charter_id
95,0,Durant,www.mylibertytrust.com,IA,Liberty Trust & Savings Bank,10121
96,0,Traer,http://www.fsb-traer.com,IA,Farmers Savings Bank & Trust,10122
97,0,Coralville,www.ft-sb.com,IA,First Trust and Savings Bank,10123
98,0,Bellevue,,IA,Andrew Savings Bank,10124
99,0,Anamosa,www.citizensbankia.com,IA,Citizens Savings Bank,10125
100,0,Bennett,,IA,Bennett State Bank,10126
101,0,Bloomfield,www.success.bank,IA,Success Bank,10127
102,0,Wesley,,IA,Exchange State Bank,10129
103,0,South Haven,,MI,Citizens Trust and Savings Bank,1013
104,0,Humboldt,,IA,Bank Iowa,10130
105,0,Washington,,IA,West Chester Savings Bank,10131
106,0,Ames,www.esb1.com,IA,Exchange State Bank,10132
107,20442,Keokuk,,IA,"Norwest Bank Keokuk, National Association",10133
108,0,Cadiz,,KY,Trigg County Farmers Bank,10135
109,0,Georgetown,,KY,"The Farmers Bank and Trust Company of Georgetown, Kentucky",10136
110,0,Grayson,cbgrayson.com,KY,The Commercial Bank of Grayson,10137
111,0,Madisonville,,KY,Citizens Bank of Kentucky,10139
112,0,Sparta,www.choiceone.bank,MI,ChoiceOne Bank,1014
113,21476,Florence,,KY,Huntington National Bank of Boone County,10141
114,0,Kevil,,KY,The Kevil Bank,10142
115,14840,Lexington,,KY,"Bank One, Lexington, National Association",10143
116,0,Millersburg,,KY,Farmers Exchange Bank,10144
117,0,Munfordville,,KY,Hart County Bank and Trust Company,10145
118,0,Louisville,,KY,Commonwealth Bank and Trust Company,10146
119,0,Springport,,MI,Springport State Savings Bank,10150
120,15575,Grand Rapids,,MI,"NBD Grand Rapids, National Association",10153
121,0,White Cloud,,MI,"The First State Bank, White Cloud, Michigan",10155
122,0,Shelby,www.shelbybank.com,MI,The Shelby State Bank,10157
123,0,Bayport,https://www.fsbt.com,MN,First State Bank and Trust,10159
124,0,Traverse City,,MI,Old Kent Bank-Grand Traverse,1016
125,23457,Holdingford,www.versabankusa.com,MN,VersaBank USA National Association,10160
126,23193,Isanti,,MN,"Landmark Community Bank, National Association",10161
127,0,Le Roy,www.fsbminnesota.com,MN,First State Bank Minnesota,10162
128,0,Marine On St. Croix,www.themarinebank.com,MN,Security State Bank of Marine,10163
129,0,Long Prairie,,MN,Lake Country State Bank,10164
130,0,Pierz,www.fmpierz.com,MN,Farmers and Merchants State Bank of Pierz,10165
131,0,Prior Lake,,MN,Prior Lake State Bank,10166
132,0,Roseau,www.citizensros.com,MN,Citizens State Bank of Roseau,10167
133,0,Cannon Falls,www.ffmbank.com,MN,First Farmers & Merchants Bank,10168
134,0,Becker,www.sherburnestatebank.com,MN,Sherburne State Bank,10169
135,0,Williamston,,MI,Republic Bank - Central,1017
136,0,Winsted,,MN,Flagship Bank Winsted,10170
137,0,Avon,,MN,Avon State Bank,10171
138,0,Fairfax,,MN,Fidelity State Bank of Fairfax,10172
139,0,Altura,,MN,Altura State Bank,10173
140,0,Underwood,WWW.farmersstbank.com,MN,Farmers State Bank of Underwood,10174
141,0,Hibbing,www.ssbhibbing.com,MN,Security State Bank of Hibbing,10175
142,0,Kerkhoven,,MN,Financial Security Bank,10176
143,0,Clara City,,MN,Americana State Bank of Clara City,10177
144,0,Hollandale,www.producestatebank.com,MN,Produce State Bank,10178
145,0,Belgrade,,MN,North American State Bank,10179
146,0,Burlington,,WI,M&I Bank of Burlington,1018
147,24301,Onalaska,,WI,"Merchants Bank, National Association",10181
148,20634,Stillwater,,MN,"Norwest Bank Stillwater, National Association",10182
149,0,Cook,,MN,"Farmers and Merchants State Bank of Cook, Incorporated",10183
150,0,Clarkfield,,MN,F & M Bank Minnesota,10184
151,0,Elysian,www.elysianbank.net,MN,Elysian Bank,10185
152,0,Fertile,,MN,First State Bank of Fertile,10186
153,0,Gonvick,www.nsbgonvick.com,MN,The Northern State Bank of Gonvick,10187
154,0,Hutchinson,,MN,First Bank of Minnesota,10188
155,0,Stillwater,,MN,Cosmopolitan State Bank of Stillwater,10189
156,0,Prinsburg,www.prinsbank.com,MN,PrinsBank,10191
157,0,Cambridge,,MN,Peoples Bank of Commerce,10192
158,0,Erhard,,MN,Erhard State Bank,10193
159,0,Pine River,www.pineriverstatebank.com,MN,Pine River State Bank,10194
160,18346,Caledonia,,MN,Community First National Bank of Caledonia,10195
161,0,Crookston,,MN,Northern Sky Bank,10196
162,0,Cyrus,www.hcbmn.com,MN,Hometown Community Bank,10197
163,0,Delano,,MN,State Bank of Delano,10198
164,0,Ellsworth,,MN,Ellsworth State Bank,10199
165,0,Paragould,,AR,Security Bank,102
166,0,Milwaukee,,WI,M&I Marshall and Ilsley Bank,1020
167,0,Jeffers,statebankofjeffers.com,MN,State Bank of Jeffers,10200
168,0,Lewiston,,MN,Security State Bank of Lewiston,10201
169,0,Lowry,www.lowrystate.com,MN,Lowry State Bank,10202
170,25066,Saint Paul,,MN,"Western Bank, National Association",10203
171,0,Erskine,,MN,American State Bank of Erskine,10204
172,0,Isle,,MN,Rural American Bank - Isle,10205
173,0,Howard Lake,,MN,Security State Bank of Howard Lake,10206
174,0,Alexandria,,MN,First State Bank of Alexandria,10207
175,0,Cottonwood,,MN,United Southwest Bank,10208
176,0,Foley,,MN,Rural American Bank - Foley,10209
177,0,Milwaukee,,WI,Continental Bank & Trust Co.,1021
178,0,New Brighton,,MN,Firstar New Brighton Bank,10210
179,0,Barrett,,MN,West Central Bank,10211
180,0,Geneva,http://www.cbmn.bank,MN,Commerce Bank,10212
181,0,Vermillion,WWW.VERMILLIONBANK.COM,MN,Vermillion State Bank,10214
182,0,Wyoming,,MN,The RiverBank,10216
183,0,Hayward,,MN,Americana State Bank of Hayward,10217
184,0,Hutchinson,http://www.cbhutch.com,MN,Citizens Bank & Trust Co.,10218
185,15649,Platteville,www.clarebank.com,WI,"Clare Bank, National Association",1022
186,0,East Brunswick Township,,NJ,Mid State Bank and Trust Company,10222
187,0,Annandale,,NJ,Hunterdon County Trust Company,10223
188,15518,Pitman,,NJ,Broadway National Bank & Trust Co. of Pitman,10226
189,0,Orange,,NJ,Orange Valley Bank,10229
190,0,Sheboygan,,WI,Norwest Bank Wisconsin East Central,1023
191,0,Adams,,ND,Security State Bank of Adams,10231
192,0,Dickinson,,ND,Dakota Community Bank,10233
193,0,Mayville,www.gooseriverbank.com,ND,The Goose River Bank,10236
194,0,Northwood,,ND,Northwood State Bank,10238
195,0,Cudahy,,WI,M&I South Shore Bank,1024
196,0,Ypsilanti,,ND,Farmers State Bank of Ypsilanti,10240
197,0,Beach,,ND,"Farmers & Merchants Bank, Beach, North Dakota",10241
198,0,Golva,fsbofgolva.com,ND,First State Bank of Golva,10243
199,0,West Fargo,,ND,West Fargo State Bank,10245
200,0,Michigan,,ND,Lamb's Bank of Michigan City,10246
201,0,Watford City,www.fibt.com,ND,First International Bank & Trust,10248
202,0,Leeds,,ND,United Community Bank of North Dakota,10249
203,0,Sturgeon Bay,,WI,Baylake Bank,1025
204,0,Velva,http://www.psbvelva.com,ND,Peoples State Bank of Velva,10250
205,0,Ray,,ND,Citizens State Bank of Ray,10252
206,0,Beulah,www.firstsecuritybanks.com,ND,First Security Bank - West,10253
207,17393,Akron,,OH,"National City Bank, Northeast",10254
208,0,Old Fort,http://www.oldfortbank.com,OH,The Old Fort Banking Company,10255
209,0,Canton,,OH,The Harter Bank & Trust Company,10258
210,14493,Batesville,,AR,Boatmen's National Bank of Batesville,1026
