,charter_id,assets,deposits,year,month
391,2847,333110269,53322626,2024,9
392,2874,190787551,28799202,2024,9
393,2876,590210315,54644458,2024,9
394,2881,205765557,33211905,2024,9
395,2892,1584316,1071441,2024,9
396,2918,86823268,9776664,2024,9
397,2932,1812074,235282,2024,9
398,2935,22172217,1635088,2024,9
399,2953,35362171,30722467,2024,9
400,2959,98945802,16432546,2024,9
401,3006,1549718,375699,2024,9
402,3012,35877088,23600723,2024,9
403,3025,3759853763,278336357,2024,9
404,3029,12718933,3831275,2024,9
405,3050,24353271,3968255,2024,9
406,3056,10751352,7697046,2024,9
407,3061,95507789,3839887,2024,9
408,3064,59077502,3712537,2024,9
409,3080,38865664,17201435,2024,9
410,3085,28764272,4292744,2024,9
411,3110,907411,188275,2024,9
412,3120,6670635,165423,2024,9
413,3126,43384451,3464326,2024,9
414,3130,1107324184,69189120,2024,9
415,3140,298989710,26977986,2024,9
416,3182,10997776,3881433,2024,9
417,3202,44940078,916324,2024,9
418,3212,230437040,9697453,2024,9
419,3218,133267950,3775625,2024,9
420,3226,3222682,720029,2024,9
421,3237,7923036,1846398,2024,9
422,3251,1302141,1083921,2024,9
423,3256,2866615,1838351,2024,9
424,3264,638985915,393760803,2024,9
425,3278,19028343,8617583,2024,9
426,3285,34889847,5872148,2024,9
427,3291,442379229,29825914,2024,9
428,3306,163744098,26931707,2024,9
429,3313,7531073,2595843,2024,9
430,3316,50500224,9927224,2024,9
431,3323,125992241,9538296,2024,9
432,3337,11892203,1519959,2024,9
433,3356,1917755,553554,2024,9
434,3360,195795833,23692051,2024,9
435,3388,66775604,14338394,2024,9
436,3391,105737284,26705993,2024,9
437,3412,78204979,40658418,2024,9
438,3413,1580380430,210399499,2024,9
439,3420,2034874,314481,2024,9
440,3438,46745113,3571332,2024,9
441,3439,513634837,59021371,2024,9
442,3447,14540165,9244691,2024,9
443,3454,2125627402,151679370,2024,9
444,3458,247159713,31770856,2024,9
445,3462,7794732,2222176,2024,9
446,3475,24082636,15237334,2024,9
447,3476,46401156,4222580,2024,9
448,3487,88679884,44870637,2024,9
449,3526,177440614,17855251,2024,9
450,3536,10057624,2546611,2024,9
451,3541,90541883,13265061,2024,9
452,3544,13708646,9948567,2024,9
453,3551,78723744,20717303,2024,9
454,3558,6573768,2555102,2024,9
455,3571,232192306,13654906,2024,9
456,3574,156074039,30784960,2024,9
457,3575,3738026,2293083,2024,9
458,3576,217341075,20100214,2024,9
459,3601,791760041,63694810,2024,9
460,3602,1055512,244737,2024,9
461,3631,100690668,28878947,2024,9
462,3633,315003076,60580764,2024,9
463,3653,6396794,4186313,2024,9
464,3655,212801148,6669447,2024,9
465,3683,12787651,2617862,2024,9
466,3685,14039338,996799,2024,9
467,3710,49583129,4544885,2024,9
468,3711,169113730,20504720,2024,9
469,3720,52464165,17587028,2024,9
470,3736,9158653,3546428,2024,9
471,3738,300327316,14963758,2024,9
472,3741,40556321,3483455,2024,9
473,3746,25670395,17184680,2024,9
474,3748,42297267,14241107,2024,9
475,3755,60117608,8653148,2024,9
476,3757,84424206,36307427,2024,9
477,3759,94549464,36762551,2024,9
478,3764,95650918,10881094,2024,9
479,3775,54793085,7653059,2024,9
480,3787,1293545,212393,2024,9
481,3790,3630881,534134,2024,9
482,3796,110925091,39053398,2024,9
483,3800,146607701,24626803,2024,9
484,3810,28196680,21796811,2024,9
485,3819,67213668,29064686,2024,9
486,3828,58915510,7282909,2024,9
487,3830,705519613,66943235,2024,9
488,3841,227464132,19819612,2024,9
489,3850,905856343,67552832,2024,9
490,3853,173499769,19952840,2024,9
491,3868,363673,19756,2024,9
492,3869,1955051,874873,2024,9
493,3907,211907023,9620434,2024,9
494,3938,69474969,12487783,2024,9
495,3943,437580913,62510250,2024,9
496,3945,341451063,25281812,2024,9
497,3946,52778427,22386761,2024,9
498,3947,51961909,1635768,2024,9
499,3951,449624416,16412626,2024,9
500,3963,75118408,40787530,2024,9
501,3972,252787210,7889776,2024,9
502,4015,759249582,19111795,2024,9
503,4020,28521337,6489797,2024,9
504,4022,55630060,12322279,2024,9
505,4024,227478074,30918390,2024,9
506,4025,2188990,453646,2024,9
507,4037,47669843,3257124,2024,9
508,4038,199432855,37053830,2024,9
509,4043,267627283,25462593,2024,9
510,4060,306950391,16939314,2024,9
511,4078,3699752,1539712,2024,9
512,4088,17364841,1144697,2024,9
513,4090,6035896,2170873,2024,9
514,4095,22735292,13088906,2024,9
515,4098,34326088,5379403,2024,9
516,4116,63723577,5067226,2024,9
517,4118,223062041,23741542,2024,9
518,4120,34132958,11465106,2024,9
519,4122,248014997,18415621,2024,9
520,4127,33612027,21081842,2024,9
521,4135,249937212,23229347,2024,9
522,4142,6748872512,248959831,2024,9
523,4148,51312787,26273125,2024,9
524,4152,29203019,18735458,2024,9
525,4158,11076111,7695672,2024,9
526,4163,26769557,10568137,2024,9
527,4164,331736772,35172609,2024,9
528,4170,1105537,839743,2024,9
529,4175,9031570,876571,2024,9
530,4176,7978429,1088481,2024,9
531,4192,3814022,1066989,2024,9
532,4202,186631321,30405666,2024,9
533,4227,38225527,3478423,2024,9
534,4233,21720613,1572794,2024,9
535,4240,125857320,11677431,2024,9
536,4246,226705,114283,2024,9
537,4261,262502660,7313080,2024,9
538,4271,207018495,27561059,2024,9
539,4281,1075476306,51448469,2024,9
540,4291,325566226,35657855,2024,9
541,4292,8358448,3059034,2024,9
542,4365,2331429590,80843940,2024,9
543,4366,6851843,1913323,2024,9
544,4369,30350281,4830076,2024,9
545,4374,81802783,4271230,2024,9
546,4393,4352498,2786004,2024,9
547,4395,95140265,3965090,2024,9
548,4400,166387279,38094371,2024,9
549,4401,148845359,24275115,2024,9
550,4416,235016,128850,2024,9
551,4427,35617673,18744583,2024,9
552,4441,10092143,5706639,2024,9
553,4461,37646288,9181615,2024,9
554,4472,26741399,13851839,2024,9
555,4480,200977409,11006162,2024,9
556,4487,3400377,1204269,2024,9
557,4488,4367362,1390325,2024,9
558,4509,10341268,4310182,2024,9
559,4524,49160696,21479073,2024,9
560,4531,7388289,757423,2024,9
561,4580,1352881336,100630650,2024,9
562,4584,2513450564,114915043,2024,9
563,4611,5334715,670152,2024,9
564,4616,256660665,64206578,2024,9
565,4633,176494470,5480180,2024,9
566,4684,99002308,15264991,2024,9
567,4708,60088606,11340438,2024,9
568,4714,232431411,44391764,2024,9
569,4726,102341042,4656763,2024,9
570,4731,129599034,40479790,2024,9
571,4735,13309612562,226163296,2024,9
572,4746,351474144,18514213,2024,9
573,4756,10985321,1434793,2024,9
574,4787,23229324,1662863,2024,9
575,4792,297030087,16415470,2024,9
576,4794,97938327,59967947,2024,9
577,4799,12791697,3253904,2024,9
578,4805,39779172,28626740,2024,9
579,4809,18370604,1994688,2024,9
580,4828,32583634,1168769,2024,9
581,4845,43507546,8857468,2024,9
582,4853,183572496,9759076,2024,9
583,4871,1094401,622980,2024,9
584,4878,301302655,23367175,2024,9
585,4884,62284124,29523608,2024,9
586,4894,15356827,1014452,2024,9
587,4906,4564327,2948193,2024,9
588,4915,378715996,15549848,2024,9
589,4936,40383798,7023985,2024,9
590,4951,68188241,21913862,2024,9
591,4960,249031019,67160699,2024,9
592,4963,133071400,5604468,2024,9
593,4966,93409402,6467295,2024,9
594,4968,693256986,22436480,2024,9
595,4969,88391963,47904307,2024,9
596,4982,43626092,27412851,2024,9
597,5028,30161168,27905229,2024,9
598,5029,1466511223,152236019,2024,9
599,5045,9798481,6538204,2024,9
600,5062,7228614,1433075,2024,9
601,5063,68935180,802182,2024,9
602,5086,457063553,91765996,2024,9
603,5116,39488783,24963928,2024,9
604,5123,22257335,11595498,2024,9
605,5127,650702,515223,2024,9
606,5134,565724024,33950264,2024,9
607,5144,31133352,8646460,2024,9
608,5163,2849101,930342,2024,9
609,5168,291074850,6256626,2024,9
610,5170,38428707,22358129,2024,9
611,5227,130406,130406,2024,9
612,5234,797719141,71502231,2024,9
613,5241,58194570,13720249,2024,9
614,5252,55737776,3201319,2024,9
615,5256,40530911,15671562,2024,9
616,5257,129156320,21193903,2024,9
617,5272,11134888,6550359,2024,9
618,5286,59052203,15175998,2024,9
619,5291,47758255,5929330,2024,9
620,5318,96809318,3270146,2024,9
621,5321,2184263,156446,2024,9
622,5325,11704033,2635519,2024,9
623,5337,25270566,3258961,2024,9
624,5345,6611786,4351704,2024,9
625,5359,29218608,17161873,2024,9
626,5366,71683409,29766873,2024,9
627,5370,345563764,31220328,2024,9
628,5373,76525811,42098525,2024,9
629,5380,542718611,36065898,2024,9
630,5387,110070453,17662112,2024,9
631,5419,99710653,3320024,2024,9
632,5422,110954106,21658569,2024,9
633,5431,344151301,42156859,2024,9
634,5439,39972506,2933493,2024,9
635,5465,82240965,50509565,2024,9
636,5484,72255223,5271651,2024,9
637,5487,176922191,16903413,2024,9
638,5495,294120127,7611464,2024,9
639,5500,4810199243,908821806,2024,9
640,5510,38164337,14110532,2024,9
641,5524,2727519,1124536,2024,9
642,5530,90786658,5556846,2024,9
643,5531,12383977,5176523,2024,9
644,5536,180806457305,4516396314,2024,9
645,5539,7307821,697371,2024,9
646,5546,89366082,9520597,2024,9
647,5547,502370385,119098793,2024,9
648,5549,127686009,25155229,2024,9
649,5554,76576830,9680758,2024,9
650,5561,4126168226,358514450,2024,9
651,5569,45811661,8087261,2024,9
652,5571,411965319,22913292,2024,9
653,5579,265422047,21223937,2024,9
654,5582,6430617636,475060184,2024,9
655,5588,9570630332,380230397,2024,9
656,5589,7305095,3390839,2024,9
657,5602,390146796,45473472,2024,9
658,5604,108109869,19713411,2024,9
659,5612,932263445,111276168,2024,9
660,5621,4841386801,588554554,2024,9
661,5636,406849680,108196118,2024,9
662,5641,50622854,7298598,2024,9
663,5648,1280109508,56925241,2024,9
664,5652,424135738,56700519,2024,9
665,5655,192877,82573,2024,9
666,5660,138935107,98374807,2024,9
667,5665,119966041,16922069,2024,9
668,5684,53583550,32164142,2024,9
669,5686,14177903,3578156,2024,9
670,5713,14427770,5460317,2024,9
671,5718,350562780,53936780,2024,9
672,5721,111048632,28974127,2024,9
673,5736,46898153,5363412,2024,9
674,5741,34569035,15404506,2024,9
675,5748,130800140,18373438,2024,9
676,5754,2481213390,133483380,2024,9
677,5773,40531272,4657674,2024,9
678,5780,10149510,7913491,2024,9
679,5781,4897387,2271992,2024,9
680,5785,44556108,1717494,2024,9
681,5797,4064319542,260783903,2024,9
682,5811,26471224,13581039,2024,9
683,5816,117571314,15551384,2024,9
684,5822,12362974,3472755,2024,9
685,5839,2931259,490749,2024,9
686,5845,28819305,7045864,2024,9
687,5851,4157684207,212193769,2024,9
688,5852,430827816,27338189,2024,9
689,5856,310290618,32072146,2024,9
690,5866,228216713,12157694,2024,9
691,5867,47408290,9988875,2024,9
692,5885,65402981,39118092,2024,9
693,5892,230932501,35651777,2024,9
694,5913,11460496338,308999033,2024,9
695,5922,26593227,18409754,2024,9
696,5924,927669093,94590107,2024,9
697,5928,143657284,18661079,2024,9
698,5930,10127843,1151513,2024,9
699,5935,17924859,4056591,2024,9
700,5960,1921432,133517,2024,9
701,5970,12658689,6030436,2024,9
702,5974,238734879,26926923,2024,9
703,5982,95307246,13289130,2024,9
704,5987,6864313,3344019,2024,9
705,6008,16232013,9339059,2024,9
706,6011,1019323157,49233573,2024,9
707,6012,55358343,8748743,2024,9
708,6032,338350695,50967052,2024,9
709,6039,56647889,18819055,2024,9
710,6048,7732961,1794006,2024,9
711,6053,465863531,75975422,2024,9
712,6062,203423962,31449109,2024,9
713,6070,20273111,5694467,2024,9
714,6072,97302944,11630639,2024,9
715,6079,60489645,10097286,2024,9
716,6084,81011696,47411706,2024,9
717,6088,7012236,1682800,2024,9
718,6095,117072138,7654938,2024,9
719,6102,95335984,12098790,2024,9
720,6112,5975458,697541,2024,9
721,6116,43781654,7305473,2024,9
722,6134,11028421,4595812,2024,9
723,6144,6587260,1436413,2024,9
724,6150,13755497,1501460,2024,9
725,6160,815393949,20274875,2024,9
726,6175,40442032,22773462,2024,9
727,6178,2482595182,229361735,2024,9
728,6179,32261614,1711138,2024,9
729,6184,3455441,2482858,2024,9
730,6187,118224553,13052771,2024,9
731,6196,13251433,6065161,2024,9
732,6208,40805301,28976035,2024,9
733,6214,54580346,25440871,2024,9
734,6225,35050669,1552658,2024,9
735,6233,352763872,52698514,2024,9
736,6237,12603981,1026074,2024,9
737,6240,3248130,2178452,2024,9
738,6248,1002845545,118669354,2024,9
739,6269,188331214,36339649,2024,9
740,6275,583174175,74427825,2024,9
741,6277,7450947,4781665,2024,9
742,6288,4127673172,330373686,2024,9
743,6304,10686733,3905926,2024,9
744,6311,5152896,1476601,2024,9
745,6317,29676717,8927165,2024,9
746,6318,3464144,933305,2024,9
747,6326,36317385,29718603,2024,9
748,6328,5499781230,927752197,2024,9
749,6332,208109380,15025996,2024,9
750,6339,55061807,33373955,2024,9
751,6353,85687541,52532355,2024,9
752,6368,18617958,10511109,2024,9
753,6369,182112613,19187395,2024,9
754,6370,44133891,6581642,2024,9
755,6418,10246727,5541752,2024,9
756,6424,55070917,31008780,2024,9
757,6434,106192442,19898699,2024,9
758,6443,4403985,2741437,2024,9
759,6464,341113853,64985729,2024,9
760,6466,23749861,5251291,2024,9
761,6472,9346618,4681976,2024,9
762,6498,28373511,9834249,2024,9
763,6506,71849,50326,2024,9
764,6527,36366273,13948214,2024,9
765,6574,842377347,72026085,2024,9
766,6584,42545029,18603280,2024,9
767,6613,134412377,14950939,2024,9
768,6626,66158413,4922588,2024,9
769,6627,131281731,51051175,2024,9
770,6628,39556140,4293538,2024,9
771,6636,25189554,5075353,2024,9
772,6638,23040699,10730603,2024,9
773,6652,99235055,10628804,2024,9
774,6665,624645070,24387682,2024,9
775,6667,1191504,729702,2024,9
776,6670,86155563,16704367,2024,9
777,6672,595342,299231,2024,9
778,6674,34470995,10027042,2024,9
779,6679,143373113,14930613,2024,9
780,6680,431964751,42123906,2024,9
781,6681,2028747731,218333809,2024,9
782,6685,371995580,90097780,2024,9
783,6687,11262361,2406769,2024,9
