,charter_id,name,city,state,url
108,620,POWER ONE,Fort Wayne,IN,http://poweronefcu.org
109,624,UNITED STATES SENATE,Alexandria,VA,https://www.ussfcu.org
110,640,MAINE MEDIA,SOUTH PORTLAND,ME,http://www.mainemedia.com
111,644,TRAILHEAD,PORTLAND,OR,http://www.trailheadcu.org
112,648,HOWARD UNIVERSITY EMPLOYEES,Washington,DC,http://www.huefcu.org
113,649,VALLEY 1ST COMMUNITY,MONESSEN,PA,http://WWW.VALLEY1ST.ORG
114,663,PRIORITY PLUS,WILMINGTON,DE,http://www.priorityplusfcu.org
115,665,PENINSULA COMMUNITY,SHELTON,WA,http://www.pcfcu.org
116,678,FAMILY 1ST OF TEXAS,Fort Worth,TX,http://www.family1stfcu.org
117,687,STAGEPOINT,Laramie,WY,http://www.stagepointfcu.com
118,690,CHATTANOOGA AREA SCHOOLS,CHATTANOOGA,TN,https://www.casfcu.com/
119,716,BETHLEHEM 1ST,Bethlehem,PA,http://www.beth1st.org
120,761,SKY,Livingston,MT,http://www.skyfcu.org
121,770,COMMUNITY RESOURCE,Latham,NY,http://www.communityresourcefcu.com
122,785,UNIVERSAL,Huntington,WV,http://www.universalfcu.com
123,794,TRI BORO,Munhall,PA,HTTP://WWW.TRIBORO-FCU.ORG
124,795,HUNTINGTON WEST VA FIREMENS,Huntington,WV,
125,798,TRANSIT AUTHORITY DIVISION B,New York,NY,http://www.divbfcu.com
126,808,U.S. EAGLE,Albuquerque,NM,https://www.useagle.org
127,817,ROCHESTER & MONROE CO EMP,Rochester,NY,http://www.rocmon.org
128,818,GOWANDA AREA,GOWANDA,NY,https://www.gafcu.org
129,832,UPPER CUMBERLAND,Crossville,TN,http://www.ucfcu.org
130,838,APS,Charleroi,PA,http://www.apsfcu.org
131,839,FIRSTENERGY CHOICE,GREENSBURG,PA,http://www.fechoice.com
132,841,ALLEGHENY CENTRAL,Dunbar,PA,http://www.acefcu.org
133,845,BUFFALO CONRAIL,Cheektowaga,NY,http://www.bufconfcu.com
134,850,VALLEY,Brownsville,TX,http://www.vfcu.net
135,851,CHELSEA EMPLOYEES,CHELSEA,MA,http://www.ChelseaEFCU.org
136,854,SEASONS,Middletown,CT,http://www.seasonsfcu.org
137,856,MOUNTAIN STAR,El Paso,TX,http://www.mountainstarfcu.org
138,857,AFFINITY,Basking Ridge,NJ,https://www.affinityfcu.com
139,858,KENMORE N. Y. TEACHERS,Buffalo,NY,https://www.kenteachfcu.com
140,871,ZELLCO,BOGALUSA,LA,https://www.zellcofcu.org
141,872,MIAMI FIREFIGHTERS,MIAMI,FL,http://www.mffcu.org
142,884,ATT-WYO CORRECTIONAL EMPLOYEES,Attica,NY,http://www.attwyocefcu.com
143,887,BILLINGS,Billings,MT,http://www.billingsfcu.org
144,888,COXSACKIE CORRECTIONAL EMP.,COXSACKIE,NY,
145,900,AMBRIDGE AREA,Baden,PA,http://www.ambridgeareafcu.com
146,909,PRR SOUTH FORK,South Fork,PA,http://www.prrsouthfork.com
147,911,STAR USA,Charleston,WV,http://www.star.coop
148,916,ELIZABETH (N.J.) FIREMEN'S,Elizabeth,NJ,http://home.earthlink.net/~enjffcu
149,926,RIVER CITY,Leon Valley,TX,http://www.rcityfcu.org
