,CHARTER,CITY,WEBADDR,STNAME,NAME,ID
133,0,Cannon Falls,www.ffmbank.com,Minnesota,First Farmers & Merchants Bank,10168
134,0,Becker,www.sherburnestatebank.com,Minnesota,Sherburne State Bank,10169
135,0,Williamston,,Michigan,Republic Bank - Central,1017
136,0,Winsted,,Minnesota,Flagship Bank Winsted,10170
137,0,Avon,,Minnesota,Avon State Bank,10171
138,0,Fairfax,,Minnesota,Fidelity State Bank of Fairfax,10172
139,0,Altura,,Minnesota,Altura State Bank,10173
140,0,Underwood,WWW.farmersstbank.com,Minnesota,Farmers State Bank of Underwood,10174
141,0,Hibbing,www.ssbhibbing.com,Minnesota,Security State Bank of Hibbing,10175
142,0,Kerkhoven,,Minnesota,Financial Security Bank,10176
143,0,Clara City,,Minnesota,Americana State Bank of Clara City,10177
144,0,Hollandale,www.producestatebank.com,Minnesota,Produce State Bank,10178
145,0,Belgrade,,Minnesota,North American State Bank,10179
146,0,Burlington,,Wisconsin,M&I Bank of Burlington,1018
147,24301,Onalaska,,Wisconsin,"Merchants Bank, National Association",10181
148,20634,Stillwater,,Minnesota,"Norwest Bank Stillwater, National Association",10182
149,0,Cook,,Minnesota,"Farmers and Merchants State Bank of Cook, Incorporated",10183
150,0,Clarkfield,,Minnesota,F & M Bank Minnesota,10184
151,0,Elysian,www.elysianbank.net,Minnesota,Elysian Bank,10185
152,0,Fertile,,Minnesota,First State Bank of Fertile,10186
153,0,Gonvick,www.nsbgonvick.com,Minnesota,The Northern State Bank of Gonvick,10187
154,0,Hutchinson,,Minnesota,First Bank of Minnesota,10188
155,0,Stillwater,,Minnesota,Cosmopolitan State Bank of Stillwater,10189
156,0,Prinsburg,www.prinsbank.com,Minnesota,PrinsBank,10191
157,0,Cambridge,,Minnesota,Peoples Bank of Commerce,10192
158,0,Erhard,,Minnesota,Erhard State Bank,10193
159,0,Pine River,www.pineriverstatebank.com,Minnesota,Pine River State Bank,10194
160,18346,Caledonia,,Minnesota,Community First National Bank of Caledonia,10195
161,0,Crookston,,Minnesota,Northern Sky Bank,10196
162,0,Cyrus,www.hcbmn.com,Minnesota,Hometown Community Bank,10197
163,0,Delano,,Minnesota,State Bank of Delano,10198
164,0,Ellsworth,,Minnesota,Ellsworth State Bank,10199
165,0,Paragould,,Arkansas,Security Bank,102
166,0,Milwaukee,,Wisconsin,M&I Marshall and Ilsley Bank,1020
167,0,Jeffers,statebankofjeffers.com,Minnesota,State Bank of Jeffers,10200
168,0,Lewiston,,Minnesota,Security State Bank of Lewiston,10201
169,0,Lowry,www.lowrystate.com,Minnesota,Lowry State Bank,10202
170,25066,Saint Paul,,Minnesota,"Western Bank, National Association",10203
171,0,Erskine,,Minnesota,American State Bank of Erskine,10204
172,0,Isle,,Minnesota,Rural American Bank - Isle,10205
173,0,Howard Lake,,Minnesota,Security State Bank of Howard Lake,10206
174,0,Alexandria,,Minnesota,First State Bank of Alexandria,10207
175,0,Cottonwood,,Minnesota,United Southwest Bank,10208
176,0,Foley,,Minnesota,Rural American Bank - Foley,10209
177,0,Milwaukee,,Wisconsin,Continental Bank & Trust Co.,1021
178,0,New Brighton,,Minnesota,Firstar New Brighton Bank,10210
179,0,Barrett,,Minnesota,West Central Bank,10211
180,0,Geneva,http://www.cbmn.bank,Minnesota,Commerce Bank,10212
181,0,Vermillion,WWW.VERMILLIONBANK.COM,Minnesota,Vermillion State Bank,10214
182,0,Wyoming,,Minnesota,The RiverBank,10216
183,0,Hayward,,Minnesota,Americana State Bank of Hayward,10217
184,0,Hutchinson,http://www.cbhutch.com,Minnesota,Citizens Bank & Trust Co.,10218
185,15649,Platteville,www.clarebank.com,Wisconsin,"Clare Bank, National Association",1022
186,0,East Brunswick Township,,New Jersey,Mid State Bank and Trust Company,10222
187,0,Annandale,,New Jersey,Hunterdon County Trust Company,10223
188,15518,Pitman,,New Jersey,Broadway National Bank & Trust Co. of Pitman,10226
189,0,Orange,,New Jersey,Orange Valley Bank,10229
190,0,Sheboygan,,Wisconsin,Norwest Bank Wisconsin East Central,1023
191,0,Adams,,North Dakota,Security State Bank of Adams,10231
192,0,Dickinson,,North Dakota,Dakota Community Bank,10233
193,0,Mayville,www.gooseriverbank.com,North Dakota,The Goose River Bank,10236
194,0,Northwood,,North Dakota,Northwood State Bank,10238
195,0,Cudahy,,Wisconsin,M&I South Shore Bank,1024
196,0,Ypsilanti,,North Dakota,Farmers State Bank of Ypsilanti,10240
197,0,Beach,,North Dakota,"Farmers & Merchants Bank, Beach, North Dakota",10241
198,0,Golva,fsbofgolva.com,North Dakota,First State Bank of Golva,10243
199,0,West Fargo,,North Dakota,West Fargo State Bank,10245
200,0,Michigan,,North Dakota,Lamb's Bank of Michigan City,10246
201,0,Watford City,www.fibt.com,North Dakota,First International Bank & Trust,10248
202,0,Leeds,,North Dakota,United Community Bank of North Dakota,10249
203,0,Sturgeon Bay,,Wisconsin,Baylake Bank,1025
204,0,Velva,http://www.psbvelva.com,North Dakota,Peoples State Bank of Velva,10250
205,0,Ray,,North Dakota,Citizens State Bank of Ray,10252
206,0,Beulah,www.firstsecuritybanks.com,North Dakota,First Security Bank - West,10253
207,17393,Akron,,Ohio,"National City Bank, Northeast",10254
208,0,Old Fort,http://www.oldfortbank.com,Ohio,The Old Fort Banking Company,10255
209,0,Canton,,Ohio,The Harter Bank & Trust Company,10258
210,14493,Batesville,,Arkansas,Boatmen's National Bank of Batesville,1026
211,0,Edgerton,,Ohio,The Edgerton State Bank Company,10263
212,0,Strasburg,,Ohio,The Citizens-State Bank of Strasburg,10265
213,0,Beverly,www.thecitizens.com,Ohio,The Citizens Bank Company,10266
214,0,Bucyrus,,Ohio,The Farmers Citizens Bank,10267
215,0,Chillicothe,,Ohio,The Huntington Bank of Chillicothe,10269
216,0,Blytheville,www.fbtbly.com,Arkansas,Farmers Bank and Trust Company,1027
217,0,Elmore,,Ohio,The Bank of Elmore Company,10270
218,15861,Felicity,,Ohio,Citizensbank National Associaton,10271
219,0,Fort Recovery,,Ohio,The Peoples Bank Company,10272
220,0,Pioneer,,Ohio,The Pioneer Banking Company,10274
221,22582,Toledo,,Ohio,"National City Bank, Northwest",10276
222,0,Willard,,Ohio,The Willard United Bank,10277
223,0,Alexandria,,Ohio,The Huntington State Bank,10278
224,0,Ashville,,Ohio,The Ashville Bank,10279
225,0,Fordyce,www.fbtbank.com,Arkansas,FBT Bank & Mortgage,1028
226,0,Caldwell,www.thefarmersmerchants.bank,Ohio,The Farmers and Merchants Bank,10280
227,0,Mansfield,,Ohio,"Bank One, Mansfield",10283
228,0,Medina,,Ohio,AmeriTrust Company of Medina County,10284
229,0,Youngstown,,Ohio,Society Bank of Eastern Ohio,10286
230,0,Dover,,Ohio,The Reeves Banking and Trust Company,10288
231,0,Indiana,,Pennsylvania,"Farmers' Bank & Trust Company of Indiana, Pa.",10293
232,0,West Hazleton,,Pennsylvania,"The Miners Bank and Trust Company of West Hazleton, Pa.",10298
233,0,Lavaca,,Arkansas,River Valley Bank and Trust,103
234,0,West Pittston,,Pennsylvania,West Side Bank,10300
235,0,Blountville,,Tennessee,Tri-City Bank and Trust Company,10302
236,0,Ducktown,,Tennessee,The Home Bank,10303
237,0,Gates,,Tennessee,Gates Banking and Trust Company,10306
238,0,Chattanooga,www.builtwell.bank,Tennessee,Builtwell Bank,10307
239,0,Piperton,www.thebank1905.com,Tennessee,The Bank of Fayette County,10308
240,0,Humboldt,,Tennessee,Union Planters Bank of West Tennessee,10309
241,0,Huntingdon,,Tennessee,Bank of Huntingdon,10310
